primary_title,runtime_minutes,genres,average_rating,num_votes,directors,writers,studio,year,release_date,production_budget,domestic_gross,worldwide_gross,foreign_gross,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,history,horror,music,musical,mystery,romance,sci_fi,sport,thriller,war,western
The Predator,107.0,"['Action', 'Adventure', 'Sci-Fi']",5.4,94888.0,nm0000948,"nm0215269,nm0000948,nm0859029,nm0859049",Fox,2018,2018-09-14,88000000.0,51024708.0,159487563.0,108462855.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Only the Brave,134.0,"['Action', 'Biography', 'Drama']",7.7,45482.0,nm2676052,"nm9351707,nm0634307,nm2545235",Sony,2017,2017-10-20,38000000.0,18340051.0,24555177.0,6215126.0,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
War Room,120.0,['Drama'],6.5,11716.0,nm1731937,"nm1731937,nm1726854",TriS,2015,2015-08-28,3000000.0,67790117.0,73975239.0,6185122.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Dope,103.0,"['Comedy', 'Crime', 'Drama']",7.2,76557.0,nm0266622,nm0266622,ORF,2015,2015-06-19,7000000.0,17506470.0,18190831.0,684361.0,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Krampus,98.0,"['Comedy', 'Fantasy', 'Horror']",6.2,55400.0,nm1002424,"nm2591926,nm1002424,nm1296461",Uni.,2015,2015-12-04,15000000.0,42725475.0,61788393.0,19062918.0,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
The Perfect Guy,100.0,"['Crime', 'Drama', 'Horror']",5.6,8998.0,nm1270033,"nm0568416,nm0931862",SGem,2015,2015-09-11,18000000.0,57027435.0,60278166.0,3250731.0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
Bajrangi Bhaijaan,163.0,"['Action', 'Comedy', 'Drama']",8.0,63747.0,nm1203138,"nm2353436,nm1203138,nm5151578,nm4478309,nm3613395",Eros,2015,2015-07-17,13000000.0,8178001.0,121778347.0,113600346.0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Boss Baby,97.0,"['Adventure', 'Animation', 'Comedy']",6.3,93730.0,nm0569891,"nm0567112,nm2807682",Fox,2017,2017-03-31,125000000.0,175003033.0,510878762.0,335875729.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Stronger,119.0,"['Biography', 'Drama']",7.0,33464.0,nm0337773,"nm0689708,nm6646080,nm4007817",RAtt.,2017,2017-09-22,30000000.0,4211129.0,8786752.0,4575623.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
The Boy,97.0,"['Horror', 'Mystery', 'Thriller']",6.0,68957.0,nm0068587,nm3771577,STX,2016,2016-01-22,10000000.0,35819556.0,68220952.0,32401396.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
Baby Driver,113.0,"['Action', 'Crime', 'Drama']",7.6,363977.0,nm0942367,nm0942367,TriS,2017,2017-06-28,34000000.0,107825862.0,228104185.0,120278323.0,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
